Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,Free TAFE
MST,Deakin University,Melbourne,Master of Teaching English to Speakers of Other Languages,No Faculty Listed,,32000,AUD,Years,1.5,Year,Yes,Yes,IELTS,bachelor degree,,6.5,,,https://www.deakin.edu.au/course/master-teaching-english-to-speakers-other-languages-international,English,I,The Master of Teaching English to Speakers of Other Languages develops specialised skills and knowledge for professional practice in teaching. This course is designed to provide graduates with a comprehensive grounding in the theory and practice of Teaching English to Speakers of Other Languages.,This course is designed to provide the skills and knowledge for professional practice in the field of teaching English to speakers of other languages. Students with an existing registration for primary or secondary teaching in Australia can gain professional recognition for TESOL as a specialist teaching method area. The course also provides professional development for teaching English to speakers of other languages in adult education contexts and for teaching English overseas. For more information go to 'DeakinTALENT',Australia,Yes,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Melbourne,Master of Teaching (Secondary),No Faculty Listed,,30200,AUD,Years,2,Year,Yes,Yes,IELTS,bachelor degree,,7,,,https://www.deakin.edu.au/course/master-teaching-secondary-international,English,I,"Become one of the inspiring individuals empowering future generations through education. Deakin’s Master of Teaching (Secondary) prepares you for a creative, challenging and truly rewarding career.Looking for an adaptable teaching qualification that opens doors to a diverse range of industries?","As one of the largest growing employment industries in Australia, education and training is projected to grow by 11.2% by May 2023* – that’s 11,300 new jobs or 11,300 career opportunities to explore.   The knowledge and skills you’ll develop through the Master of Teaching (Secondary) prepare you well for a diverse range of roles, including:  secondary teacher in a public, independent or private school academic adviser youth worker museum educator policy manager in a not-for-profit organisation education consultant in local or federal government.  For more information go to DeakinTALENT.   *Australian Government Department of Jobs and Small Business, 2018 Employment Projections (for five years until May 2023).",Australia,No,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Melbourne,Master of Teaching (Primary),No Faculty Listed,,30200,AUD,Years,2,Year,Yes,Yes,IELTS,bachelor degree,,7,,,https://www.deakin.edu.au/course/master-teaching-primary-international,English,I,"The Master of Teaching (Primary) course is a professionally accredited initial teacher education course that prepares graduates for employment in primary teaching, along with a range of other education-related fields.","There is a strong demand for qualified teachers and graduate starting salaries for teachers are high compared to the graduate average. The increased demand for teachers has also resulted in improvements in teaching conditions, resources and career advancement opportunities. As a graduate of this course you may find employment as a teacher within the private or public education sectors. You might also find employment in a range of other education related fields including policy, consultancy, NGOs, research or community-based organisations (e.g. museums, outdoor education, arts institutions, etc) For more information go to DeakinTALENT",Australia,No,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Melbourne,Master of Teaching (Primary and Secondary),No Faculty Listed,,30200,AUD,Years,2,Year,Yes,Yes,IELTS,bachelor degree,,7,,,https://www.deakin.edu.au/course/master-teaching-primary-and-secondary-international,English,I,"If you’re unsure whether to study primary or secondary teaching, there’s no need to decide – you can do both. Deakin’s Master of Teaching (Primary and Secondary) gives you the ultimate flexibility to work at any level in any school. Looking to boost your career with an adaptable teaching qualification that enables you to move up, down, across and between classrooms?","As one of the largest growing employment industries in Australia, education and training is projected to grow by 11.2% by May 2023* – that’s 11,300 new jobs or 11,300 career opportunities to explore.   The knowledge and skills you’ll develop through the Master of Teaching (Primary and Secondary) prepares you well for a diverse range of roles, including:  primary or secondary teacher in a public, independent, or private school academic adviser youth worker museum educator policy manager in a not-for-profit organisation education consultant in local or federal government.  For more information go to DeakinTALENT.   *Australian Government Department of Jobs and Small Business, 2018 Employment Projections (for five years until May 2023).",Australia,No,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Melbourne,Master of Teaching (Primary and Early Childhood),No Faculty Listed,,30200,AUD,Years,2,Year,Yes,Yes,IELTS,bachelor degree,,7,,,https://www.deakin.edu.au/course/master-teaching-primary-and-early-childhood-international,English,I,"If you’re passionate about nurturing young, inquisitive children from prep to grade 6 and are motivated to make a genuine impact on future generations, Deakin's Master of Teaching (Primary) is for you.","As one of the largest growing employment sectors in Australia, there are many career opportunities to explore. The knowledge and skills you’ll develop through the Master of Teaching (Primary) prepare you well for a diverse range of industries and settings, including:  teaching in public, independent or private schools arts, museums and learning centres corporate learning and development counselling human resources policy universities youth work  For more information go to DeakinTALENT",Australia,No,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Melbourne,Master of Teaching (Early Childhood),No Faculty Listed,,30200,AUD,Years,2,Year,Yes,Yes,IELTS,bachelor degree,,7,,,https://www.deakin.edu.au/course/master-teaching-early-childhood-international,English,I,"The Master of Teaching (Early Childhood) course is a professionally accredited initial teacher education course that prepares graduates for employment in early childhood teaching, along with a range of other education-related fields.","There is a strong demand for qualified teachers and graduate starting salaries for teachers are high compared to the graduate average. The increased demand for teachers has also resulted in improvements in teaching conditions, resources and career advancement opportunities. As a graduate of this course you may find employment as a teacher within the private or public education sectors. You might also find employment in a range of other education related fields including policy, consultancy, NGOs, research or community-based organisations (e.g. museums, outdoor education, arts institutions, etc.)  For more information go to 'DeakinTALENT '",Australia,No,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Melbourne,Master of Sustainability,No Faculty Listed,,37600,AUD,Years,2,Year,Yes,Yes,WAM,IELTS,bachelor degree,60,6.5,,https://www.deakin.edu.au/course/master-sustainability-international,English,I,"With globalisation, population growth, and climate change dramatically affecting the natural environment, economies, and societies around the world, issues of sustainability have become critical to our future. Humanity is placing evermore pressure on the environment through increased consumption and resource use, and increased degradation of natural capital such as land, water, air, and biodiversity.The Master of Sustainability prepares you to address the complex and interacting social, economic, and environmental dimensions of sustainability issues and challenges faced globally.Throughout this course, you will acquire advanced knowledge and contemporary skills in the multidisciplinary approaches to examining why environmental impacts occur and developing appropriate cost-effective and targeted solutions to managing these impacts.Want the skills to develop and implement sustainability strategies across a range of sectors?","As a graduate of this course, you will be uniquely positioned to commence a PhD or actively pursue research roles in industry, education, government, NGOs, policy developments and teaching.  Depending on your chosen area of expertise, you may choose to seek employment as an ecologist, environment consultant, communications specialist, researcher or science journalist.  Potential employers include CSIRO, planning and research officers for state/federal government, government planning and environment departments, environmental protection agencies, cultural and natural heritage management, environmental conservation, land and water management, natural resource management, , private research institutes, private commercial companies, industrial research companies, universities, NGOs, schools, agriculture and food sector, local councils and public service.",Australia,Yes,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Geelong,Master of Surgical Research,No Faculty Listed,,40000,AUD,Years,2,Year,Yes,Yes,Minimum English requirement: refer to websites: https://www.deakin.edu.au/international-students/getting-into-deakin/entry-requirements/english-language-requirements,bachelor degree,,,,,https://www.deakin.edu.au/course/master-surgical-research-international,English,I,"This course of study leads to a Masters by Research degree, with the students drawn from qualified medical practitioners, surgeons in training and fellowship-trained surgeons. The program has a primary function in providing doctors with a structured training and experience in independent research, specifically in the surgical speciality. It also fulfils a secondary function in providing discipline-specific training for doctors with aspirations in surgery, and provides an option for students to gain some skills in clinical leadership, for future leadership roles in surgery and broader medicine. Research training and clinical leadership training will be carried out at the Waurn Ponds campus, with heavy utilisation of Cloud resources to support the teaching. Research activity, although coordinated from the Waurn Ponds campus, will mainly be carried out at the student’s place of work, although the School of Medicine’s Anatomy Laboratory will also be utilised where the Clinical Anatomy Investigation project involves cadaveric inspection or dissection. Primary supervision will be shared by academics within the School and other experts local to the workplace.","The course design has a primary function in providing doctors with a structured training and experience in independent research, specifically in the surgical specialities. It has a secondary function in providing discipline-specific research training for doctors who are seeking to enter surgical training programs, and provides an option for student to gain some skills in clinical leadership, for future leadership roles in surgery and broader medicine. Undertaking the course also helps students to develop future professional and research networks, both within Deakin and with Deakin’s partner institutes.",Australia,No,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Geelong,Master of Social Work (Research),No Faculty Listed,,37400,AUD,Years,2,Year,Yes,Yes,IELTS,bachelor degree,,7,,,https://www.deakin.edu.au/course/master-social-work-research-international,English,I,"If you are a qualified social worker, undertake further research training to develop expertise relevant to your practice.",,Australia,Yes,Yes,No,Yes,No,,Normal,No
MST,Deakin University,Melbourne,Master of Science Information Technolgy - IISRI,No Faculty Listed,,39000,AUD,Years,2,Year,Yes,Yes,IELTS,bachelor degree,,6.5,,,https://www.deakin.edu.au/course/master-science-information-technology-iisri-international,English,I,"A full-time member of the academic staff in the Institute for Intelligent Systems Research and Innovation, experienced in research (IISRI), will be appointed as supervisor for each student in the Master of Science - Information Technology. Associate supervisors, internal or external, may be appointed to assist the principal supervisor. Students may be required to meet certain attendance requirements and will be required to complete a thesis embodying the results of research carried out in the field of study specified at the time of enrolment. Students will be referred to prospective supervisors in order to establish a possible research project.",,Australia,Yes,Yes,No,Yes,No,,Normal,No
