Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,Free TAFE
ADEG,Deakin University,Melbourne,Associate Degree of Arts,Prospective Student Enquiry Centre,7950,,AUD,Years,2,Year,Yes,Yes,English EAL,,,25,,,https://www.deakin.edu.au/course/associate-degree-arts,English,D,"University can be a challenge, which is why we’ve designed a course that offers you a supported learning environment and a guaranteed pathway into Deakin's Bachelor of Arts or Bachelor of Criminology. The Associate Degree of Arts teaches you the learning skills you need to be successful at university, including communication, digital literacy, critical thinking and teamwork skills. From day one you’ll be a part of the Deakin community and campus atmosphere. From your first trimester, you’ll also complete units from your target degree (depending on which stream you choose) to ensure you are ready to transition into your bachelor degree. Choose from the general or criminology stream and learn how to navigate university in a supportive learning environment. You’ll experience smaller class sizes with world-class teachers in our state-of-the-art facilities, and get a taste of what it takes to become a successful university student. Are you interested in studying at university but not sure you meet the entry requirements for a bachelor degree?","Upon graduation from the Associate Degree of Arts, you’ll have the opportunity to continue studying or use the degree as a standalone qualification. You’ll have guaranteed entry into our Bachelor of Arts or Bachelor of Criminology depending on which specialisation you take, plus receive credit that could put you straight into your second year. You’ll also have the opportunity to apply to transition into other bachelor degrees, including communication, design, psychology, health science, nursing, commerce, management or science. An associate degree equips you with the skills to succeed in both university and your career. For more information go to DeakinTALENT",Australia,No,Yes,No,Yes,No,,Normal,No
ADEG,Deakin University,Geelong,Associate Degree of Arts,Prospective Student Enquiry Centre,7950,,AUD,Years,2,Year,Yes,Yes,English EAL,,,25,,,https://www.deakin.edu.au/course/associate-degree-arts,English,D,"University can be a challenge, which is why we’ve designed a course that offers you a supported learning environment and a guaranteed pathway into Deakin's Bachelor of Arts or Bachelor of Criminology. The Associate Degree of Arts teaches you the learning skills you need to be successful at university, including communication, digital literacy, critical thinking and teamwork skills. From day one you’ll be a part of the Deakin community and campus atmosphere. From your first trimester, you’ll also complete units from your target degree (depending on which stream you choose) to ensure you are ready to transition into your bachelor degree. Choose from the general or criminology stream and learn how to navigate university in a supportive learning environment. You’ll experience smaller class sizes with world-class teachers in our state-of-the-art facilities, and get a taste of what it takes to become a successful university student. Are you interested in studying at university but not sure you meet the entry requirements for a bachelor degree?","Upon graduation from the Associate Degree of Arts, you’ll have the opportunity to continue studying or use the degree as a standalone qualification. You’ll have guaranteed entry into our Bachelor of Arts or Bachelor of Criminology depending on which specialisation you take, plus receive credit that could put you straight into your second year. You’ll also have the opportunity to apply to transition into other bachelor degrees, including communication, design, psychology, health science, nursing, commerce, management or science. An associate degree equips you with the skills to succeed in both university and your career. For more information go to DeakinTALENT",Australia,No,Yes,No,Yes,No,,Normal,No
ADEG,Deakin University,Melbourne,Associate Degree of Education,Prospective Student Enquiry Centre,3950,,AUD,Years,2,Year,Yes,Yes,English EAL,,,25,,,https://www.deakin.edu.au/course/associate-degree-education,English,D,"Begin your journey to becoming a teacher by studying an Associate Degree of Education at Deakin. You’ll complete core units from the Bachelor of Education (Primary) and develop the foundation skills required to succeed at university. Whether you’re looking to forge a path in education, have never studied at university - or you’re not sure if you meet the entry requirements, this degree is designed to introduce you to what it’s like to study at Deakin and to set you on the pathway to becoming a teacher. Experience smaller class sizes, giving you better access to teachers in your first year. You’ll learn the essential skills needed to succeed at university, including effective communication, digital literacy and critical thinking. Once you’ve got the foundation skills, you’ll start studying core units that will kickstart your learning in education. Do you want to begin studying at university, but not sure where to start?","Graduates of the Associate Degree of Education have guaranteed entry into our Bachelor of Education (Primary), provided they pass the CASPer test. An associate degree equips you with the skills to succeed at both university and in your future career. Graduates find employment opportunities in a range of fields, including:  Government departments Education Health sector Media Public service Private academies/agencies.  For more information go to DeakinTALENT",Australia,No,Yes,No,Yes,No,,Normal,No
ADEG,Deakin University,Geelong,Associate Degree of Education,Prospective Student Enquiry Centre,3950,,AUD,Years,2,Year,Yes,Yes,English EAL,,,25,,,https://www.deakin.edu.au/course/associate-degree-education,English,D,"Begin your journey to becoming a teacher by studying an Associate Degree of Education at Deakin. You’ll complete core units from the Bachelor of Education (Primary) and develop the foundation skills required to succeed at university. Whether you’re looking to forge a path in education, have never studied at university - or you’re not sure if you meet the entry requirements, this degree is designed to introduce you to what it’s like to study at Deakin and to set you on the pathway to becoming a teacher. Experience smaller class sizes, giving you better access to teachers in your first year. You’ll learn the essential skills needed to succeed at university, including effective communication, digital literacy and critical thinking. Once you’ve got the foundation skills, you’ll start studying core units that will kickstart your learning in education. Do you want to begin studying at university, but not sure where to start?","Graduates of the Associate Degree of Education have guaranteed entry into our Bachelor of Education (Primary), provided they pass the CASPer test. An associate degree equips you with the skills to succeed at both university and in your future career. Graduates find employment opportunities in a range of fields, including:  Government departments Education Health sector Media Public service Private academies/agencies.  For more information go to DeakinTALENT",Australia,No,Yes,No,Yes,No,,Normal,No
ADEG,Deakin University,Warrnambool,Associate Degree of Education,Prospective Student Enquiry Centre,3950,,AUD,Years,2,Year,Yes,Yes,English EAL,,,25,,,https://www.deakin.edu.au/course/associate-degree-education,English,D,"Begin your journey to becoming a teacher by studying an Associate Degree of Education at Deakin. You’ll complete core units from the Bachelor of Education (Primary) and develop the foundation skills required to succeed at university. Whether you’re looking to forge a path in education, have never studied at university - or you’re not sure if you meet the entry requirements, this degree is designed to introduce you to what it’s like to study at Deakin and to set you on the pathway to becoming a teacher. Experience smaller class sizes, giving you better access to teachers in your first year. You’ll learn the essential skills needed to succeed at university, including effective communication, digital literacy and critical thinking. Once you’ve got the foundation skills, you’ll start studying core units that will kickstart your learning in education. Do you want to begin studying at university, but not sure where to start?","Graduates of the Associate Degree of Education have guaranteed entry into our Bachelor of Education (Primary), provided they pass the CASPer test. An associate degree equips you with the skills to succeed at both university and in your future career. Graduates find employment opportunities in a range of fields, including:  Government departments Education Health sector Media Public service Private academies/agencies.  For more information go to DeakinTALENT",Australia,No,Yes,No,Yes,No,,Normal,No
BA,Deakin University,Melbourne,Bachelor of Artificial Intelligence,"Faculty of Science, Engineering and Built Environment",7950,,AUD,Years,3,Year,Yes,Yes,English EAL,Maths: Mathematical Methods or Maths: Specialist Mathematics,,25,20,,https://www.deakin.edu.au/course/bachelor-artificial-intelligence,English,D,"Deakin’s Bachelor of Artificial Intelligence equips you with the knowledge and skills to design, develop and evolve software solutions that harness the latest advances in artificial intelligence (AI). Get hands-on experience developing AI-driven software solutions with the support of academics who are leaders in this emerging field. Our world-class research in AI feeds directly into our classrooms, ensuring what you learn is at the cutting edge of industry expectations and capabilities.You will have access to state-of-the-art facilities and fully equipped computer labs, with the latest software and technologies to ensure you graduate with the specialist knowledge to design and build the intelligent machines and software of our future.To further enhance your industry readiness, a minimum of 100 hours of professional experience will allow you to work side-by-side with experienced AI specialists.Want the skills to build intelligent machines and software that power our future?","AI offers an exciting future for students as more industries invest in improving what they do through learned behaviour and operating efficiencies. However, this is the tip of the iceberg and many more challenging real-world problems remain to be solved.Graduates will have the specialist knowledge and be equipped to work on the design, development and operation of software solutions involving AI, across a broad range of industry sectors. You may find employment in roles such as a data scientist, data analyst, AI technology software engineer, AI ethicist or an AI architect to name a few.",Australia,Yes,Yes,No,Yes,No,,Normal,No
BA,Deakin University,Melbourne,Bachelor of Arts,Prospective Student Enquiry Centre,7950,,AUD,Years,3,Year,Yes,Yes,English EAL,,,25,,,https://www.deakin.edu.au/course/bachelor-arts,English,D,"Study a Bachelor of Arts at Deakin and open the door to a world of opportunity. You can tailor your degree to your interests and set yourself up to be flexible across the jobs of the future. This versatile degree lets you focus on your passions by choosing specialisations called majors and minors. But you don’t need to make your choice right away. Get a taste for different study areas first so you can choose your specialisations with total confidence. You can pick from journalism, education, criminology, politics, international relations and much more – with over 35 options you’re sure to find more than one specialisation that inspires your curiosity. The added benefit of an arts degree at Deakin is the transferable skills you build through experiential learning. Learn to work in teams on industry placement, develop critical analysis through work-integrated learning, and build valuable life skills through international experiences. Are you ready to create the future you want?","The Bachelor of Arts builds valuable and transferable career skills, making you highly employable within many industries. The range of disciplines on offer also lets you follow your passion and develop the specialist skills to pursue the career you want.You’ll be able to take your degree into a range of careers, including:  Administration Advertising Business Communication Community services Criminal justice Galleries, Libraries, Archives, and Museums (GLAM) Government Human rights Journalism Media Not-for-profits Performing and visual arts Photography Policing Policy development Politics Public relations Publishing Research Tourism  For more information go to DeakinTALENT",Australia,Yes,Yes,No,Yes,No,,Normal,No
BA,Deakin University,Geelong,Bachelor of Arts,Prospective Student Enquiry Centre,7950,,AUD,Years,3,Year,Yes,Yes,English EAL,,,25,,,https://www.deakin.edu.au/course/bachelor-arts,English,D,"Study a Bachelor of Arts at Deakin and open the door to a world of opportunity. You can tailor your degree to your interests and set yourself up to be flexible across the jobs of the future. This versatile degree lets you focus on your passions by choosing specialisations called majors and minors. But you don’t need to make your choice right away. Get a taste for different study areas first so you can choose your specialisations with total confidence. You can pick from journalism, education, criminology, politics, international relations and much more – with over 35 options you’re sure to find more than one specialisation that inspires your curiosity. The added benefit of an arts degree at Deakin is the transferable skills you build through experiential learning. Learn to work in teams on industry placement, develop critical analysis through work-integrated learning, and build valuable life skills through international experiences. Are you ready to create the future you want?","The Bachelor of Arts builds valuable and transferable career skills, making you highly employable within many industries. The range of disciplines on offer also lets you follow your passion and develop the specialist skills to pursue the career you want.You’ll be able to take your degree into a range of careers, including:  Administration Advertising Business Communication Community services Criminal justice Galleries, Libraries, Archives, and Museums (GLAM) Government Human rights Journalism Media Not-for-profits Performing and visual arts Photography Policing Policy development Politics Public relations Publishing Research Tourism  For more information go to DeakinTALENT",Australia,Yes,Yes,No,Yes,No,,Normal,No
BAH,Deakin University,Melbourne,Bachelor of Arts (Honours),Prospective Student Enquiry Centre,7950,,AUD,Years,1,Year,Yes,Yes,WAM,,,65,,,https://www.deakin.edu.au/course/bachelor-arts-honours,English,D,"If you value independent thinking and are looking for a pathway to research degrees and enhanced career opportunities, the Bachelor of Arts (Honours) could be ideal for you. In this optional year of specialised study, you will conduct in-depth research on a topic you’re passionate about and develop advanced research skills and disciplinary knowledge through coursework. Our experienced academics will supervise you as you work on your thesis and engage with the wider discourse around your chosen topic. You’ll improve your critical and constructive thinking and gain practical research skills you can use in a range of private and public sectors to positively impact issues you care about. Want to conduct your own research to make a real impact in the social sciences, humanities or literary studies?","As a Bachelor of Arts (Honours) graduate, depending on your discipline, your skills will be in demand in a range of careers, including:  business community services education government civil service international relations media museums and other historical or cultural institutions not-for-profit community or policy work private sector consulting public office public policy police research social work wiring, editing and publishing  For more information go to DeakinTALENT",Australia,Yes,Yes,No,Yes,No,,Normal,No
BAH,Deakin University,Geelong,Bachelor of Arts (Honours),Prospective Student Enquiry Centre,7950,,AUD,Years,1,Year,Yes,Yes,WAM,,,65,,,https://www.deakin.edu.au/course/bachelor-arts-honours,English,D,"If you value independent thinking and are looking for a pathway to research degrees and enhanced career opportunities, the Bachelor of Arts (Honours) could be ideal for you. In this optional year of specialised study, you will conduct in-depth research on a topic you’re passionate about and develop advanced research skills and disciplinary knowledge through coursework. Our experienced academics will supervise you as you work on your thesis and engage with the wider discourse around your chosen topic. You’ll improve your critical and constructive thinking and gain practical research skills you can use in a range of private and public sectors to positively impact issues you care about. Want to conduct your own research to make a real impact in the social sciences, humanities or literary studies?","As a Bachelor of Arts (Honours) graduate, depending on your discipline, your skills will be in demand in a range of careers, including:  business community services education government civil service international relations media museums and other historical or cultural institutions not-for-profit community or policy work private sector consulting public office public policy police research social work wiring, editing and publishing  For more information go to DeakinTALENT",Australia,Yes,Yes,No,Yes,No,,Normal,No
