Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,Free TAFE
MST,University Of Queenlands,St Lucia,Master of Advanced Economics,"Business, Economics & Law",fees not listed,40640,AUD,Years,1,Years,Yes,Yes,bachelor honours degree,postgraduate degree in economics,IELTS,,,6.5,https://future-students.uq.edu.au/study/programs/master-advanced-economics-5656,English,A,"Consider your internationally recognised master's qualification in economics an investment in long-term career success.Over 16 units you'll study courses influenced by the latest economic research, and be taught by world-class academic staff who will ensure you receive a quality education in advanced economics.This 2-semester program consists entirely of technically challenging coursework. Courses cover advanced econometric theory, quantitative skills for economics, microeconomics, macroeconomics, computational methods and advanced microeconometrics.This program is often taken as a pathway to PhD studies at UQ. It's also suitable as a standalone credential for those who want to fast-track their careers as economists in sectors that do not require a doctorate.Read less",[],Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,St Lucia,Master of Advanced Economics,"Business, Economics & Law",fees not listed,40640,AUD,Years,1.5,Years,Yes,No,IELTS,,,6.5,,,https://future-students.uq.edu.au/study/programs/master-advanced-economics-5657,English,A,"Consider your internationally recognised master's qualification in economics an investment in long-term career success.Across 24 units, you'll study courses influenced by the latest economic research and be taught by world-class academic staff who will ensure you receive a quality education in advanced economics.If you want to demonstrate your ability to apply economic techniques, enrol in this extended version and undertake a research thesis over a semester.Courses include: advanced econometric theory, research thesis, quantitative skills for economics and microeconomics A. There's also macroeconomics A  and B, computational methods in economics and advanced micro-econometrics.This program is often taken as a pathway to PhD studies at UQ. It's also suitable as a standalone credential for those who want to fast-track their careers as economists in sectors that do not require a doctorate.Read less",[],Australia,No,Yes,No,Yes,No,,Normal,No
MST,University Of Queenlands,External,Master of Advanced Nursing,Health & Behavioural Sciences,fees not listed,33376,AUD,Years,1.5,Years,Yes,Yes,IELTS,,,7,,,https://future-students.uq.edu.au/study/programs/master-advanced-nursing-5676,English,A,"This program is designed for registered nurses who want to advance their careers and extend their nursing skills and knowledge with comprehensive study in an area of specialist practice.The program has been tailor-made to suit your professional needs with sensitivity to a work-life balance. You'll study coursework online over a period of up to two years full-time (or part-time equivalent).Through the program, you'll develop problem-solving skills you can apply in health assessment, specialist practice, clinical management and decision-making. The choice of courses will allow you to develop specialist knowledge in paediatric, family, aged care, chronic disease, primary healthcare, or rural and remote clinical practice.Upon graduation, you'll be in high demand with employers due to your in-depth knowledge, leadership, management and research skills. Employment opportunities for nurse managers are on the rise, with the Australian Department of Employment projecting job growth of 22.7 percent for nursing professionals between 2017 and 2022.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Director of careClinical team leadNurse managerNursing unit managerClinical services managerClinical nurse managerNurse educatorRemote area nurseExecutive care managerChronic pain nurse
",Australia,Yes,No,No,Yes,Yes,,Normal,No
GCERT,University Of Queenlands,Gatton,Graduate Certificate in Agribusiness,Science,fees not listed,21264,AUD,Years,0.5,Years,Yes,Yes,Bachelor degree,IELTS,,4,6.5,,https://future-students.uq.edu.au/study/programs/graduate-certificate-agribusiness-5007,English,A,"The Graduate Certificate in Agribusiness is designed for recent business, agricultural or rural science graduates, and for established professionals wanting to upgrade their management skills.For your half year of full-time studies, you'll select from nearly 30 courses providing you with a high level of specialised knowledge of agribusiness management together with business and communication skills associated with your selected areas of study.Graduates from UQ's Agribusiness program gain a market-oriented focus, commercial awareness, an innovative and heightened global outlook, and the required technical skills to work in agribusiness management roles. They can expect to find almost immediate work in the food and fibre industries in managerial, administrative or research roles.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Agribusiness managerAgribusiness researcherAgribusiness bankerCommodity traderSales and marketing professionalSupply chain managerProperty manager
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,Gatton,Master of Agribusiness,Science,fees not listed,42528,AUD,Years,1.5,Years,Yes,Yes,Bachelor degree,IELTS,,5,6.5,,https://future-students.uq.edu.au/study/programs/master-agribusiness-5155,English,A,"The Master of Agribusiness is designed for recent business, agricultural or rural science graduates, and for established professionals wanting to upgrade their management skills or redirect their career into agribusiness. It takes 1.5 years to complete full time.You'll select from over 20 courses providing you with a high level of specialised knowledge of agribusiness management, together with business and communication skills associated with your selected areas of study.You may also choose to complete a research project on a topic of your choice, and increase your technical and research skills working alongside some of the university’s leading academics and researchers or in an industry setting.You’ll graduate with a market-oriented focus, commercial awareness, an innovative and heightened global outlook, and the required technical skills to work in agribusiness management roles. Expect to find almost immediate work in the food and fibre industries in managerial, administrative or research roles.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Agribusiness managerAgribusiness researcherCommodity traderExport marketing officerPolicy developerSupply chain manager
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,Gatton,Master of Agribusiness,Science,fees not listed,42528,AUD,Years,2,Years,Yes,Yes,Bachelor degree,Graduate Certificate,IELTS,,,6.5,https://future-students.uq.edu.au/study/programs/master-agribusiness-5562,English,A,"The Master of Agribusiness is designed for recent business, agricultural or rural science graduates, and for established professionals wanting to upgrade their management skills or redirect their career into agribusiness. It takes 2 years to complete full time.You'll select from over 30 courses providing you with a high level of specialised knowledge of agribusiness management, together with business and communication skills associated with your selected areas of study.You can also choose to complete a research project on a topic of your choice, and increase your technical and research skills working alongside some of the university’s leading academics and researchers or in an industry setting.You’ll graduate with a market-oriented focus, commercial awareness, an innovative and heightened global outlook, and the required technical skills to work in agribusiness management roles. Expect to find work in the food and fibre industries in managerial, administrative or research roles.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Agribusiness managerAgribusiness researcherCommodity traderExport marketing officerPolicy developerSupply chain manager
",Australia,No,Yes,No,Yes,Yes,,Normal,No
GCERT,University Of Queenlands,Gatton,Graduate Certificate in Agricultural Science,Science,fees not listed,21264,AUD,Years,0.5,Years,Yes,Yes,Bachelor degree,IELTS,,4,6.5,,https://future-students.uq.edu.au/study/programs/graduate-certificate-agricultural-science-5561,English,A,"The Graduate Certificate in Agricultural Science is designed for recent graduates in any field, and for established professionals wanting to upgrade their management skills or redirect their career into agribusiness.For your half year of full-time studies, you'll select from nearly 40 courses providing you with a high level of specialised knowledge together with valuable skills associated with your selected areas of study.Graduates demonstrate the ability to apply leadership, research and problem-solving skills to meet the global challenges associated with feeding the world, and maintaining our environment in situations of increasing community expectations of animal welfare, biosecurity concerns, and competition for limited resources. This greatly expands your career prospects into a wide range of government, commercial, community or research-based roles.Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:AgronomistHorticulturalistAgricultural scientistAgricultural consultantAnimal research scientistDairy technologistAgricultural economistExtension and inspection officerLand information systems officerPlant protection adviser
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,Gatton,Master of Agricultural Science,Science,fees not listed,42528,AUD,Years,1.5,Years,Yes,Yes,Bachelor degree,IELTS,,5,6.5,,https://future-students.uq.edu.au/study/programs/master-agricultural-science-5563,English,A,"The Master of Agricultural Science is designed for recent agricultural, animal, biological, plant, or veterinary science graduates, and for established professionals wanting to upgrade their skills.For your 1.5 years of full-time studies, you'll select from nearly 40 courses, including those within one of three specialised fields – Agronomy, Horticulture or Plant Protection – allowing you to tailor your studies to suit your interests and career goals.Graduates demonstrate the ability to apply leadership, research and problem-solving skills to meet the global challenges associated with feeding the world, and maintaining our environment in situations of increasing community expectations of animal welfare, biosecurity concerns, and competition for limited resources. This greatly expands your career prospects into a wide range of government, commercial, community or research-based roles.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:AgronomistHorticulturalistAgricultural scientistAgricultural consultantAnimal research scientistDairy technologistAgricultural economistExtension and inspection officerLand information systems officerPlant protection adviser
",Australia,No,Yes,No,Yes,Yes,,Normal,No
MST,University Of Queenlands,Gatton,Master of Agricultural Science,Science,fees not listed,42528,AUD,Years,2,Years,Yes,Yes,Bachelor degree,Graduate Certificate,IELTS,,,6.5,https://future-students.uq.edu.au/study/programs/master-agricultural-science-5564,English,A,"The Master of Agricultural Science is designed for recent graduates in any field, those with a Graduate Certificate in Agricultural Science, and for established professionals wanting to upgrade their skills.For your two years of full-time studies, you'll select from nearly 40 courses, including those within one of three specialised fields – Agronomy, Horticulture or Plant Protection – allowing you to tailor your studies to suit your interests and career goals.You may also choose to undertake an independent research project to increase your technical and research skills working alongside some of the university’s leading academics and researchers or in an industry setting.Graduates demonstrate the ability to apply leadership, research and problem-solving skills to meet the global challenges associated with feeding the world, and maintaining our environment in situations of increasing community expectations of animal welfare, biosecurity concerns, and competition for limited resources. This greatly expands your career prospects into a wide range of government, commercial, community or research-based roles.Read less","
Postgraduate study can take you anywhere. Depending on which field you choose, here are some of the careers you could be on your way to:AgronomistHorticulturalistAgricultural scientistAgricultural consultantAnimal research scientistDairy technologistAgricultural economistExtension and inspection officerLand information systems officerPlant protection adviser
",Australia,No,Yes,No,Yes,Yes,,Normal,No
GCERT,University Of Queenlands,Herston,"Graduate Certificate in Alcohol, Tobacco and Other Drug Studies",Medicine,fees not listed,16712,AUD,Years,1,Years,No,Yes,approved degree,approved degree,IELTS,,,6.5,https://future-students.uq.edu.au/study/programs/graduate-certificate-alcohol-tobacco-and-other-drug-studies-5508,English,A,"This one year part-time program will prepare you to respond to drug and alcohol harm in a number of professional environments, and understand a range of priority issues in the alcohol and drugs field.Use of alcohol, tobacco and other drugs is associated with a significant burden of illness and injury in populations around the globe. In addition, individuals, families and communities experience social harms arising from specific patterns of intoxication, modes of drug use and illicit drug markets.Despite this huge impact, little formal training is available for those responding to substance use and misuse. Developed by the Queensland Alcohol and Drug Research and Education Centre in collaboration with Queensland Health, this program equips both experienced practitioners and those new to the field with the knowledge and skills to make a real difference.Through your studies, you'll develop a comprehensive understanding of the factors that influence patterns of substance use and knowledge of policies, services, treatment and prevention of alcohol and drug related harm. You'll gain the latest, most relevant information and skills needed for lifelong learning, develop your critical analysis and interpretation skills, and gain the ability to apply relevant research findings. Read less","
Postgraduate study can take you anywhere. Here are some of the careers you could be on your way to:Drug and alcohol counsellorAlcohol and substance use nurse practitionerMental health clinicianCase managerSocial workerYouth worker
",Australia,No,Yes,No,Yes,No,,Normal,No
